ID,Тип,Артикул,Имя,Опубликован,рекомендуемый?,Видимость в каталоге,Короткое описание,Описание,Дата начала действия продажной цены,Дата окончания действия продажной цены,Статус налога,Налоговый класс,В наличии?,Запасы,Задержанный заказ возможен?,Продано индивидуально?,Вес (kg),Длина (cm),Ширина (cm),Высота (cm),Разрешить отзывы от клиентов?,Примечание к покупке,Цена распродажи,Базовая цена,Категории,Метки,Класс доставки,Изображения,Лимит загрузок,Число дней до просроченной загрузки,Родительский,Сгруппированные товары,Апсейл,Кросселы,Внешний URL,Текст кнопки,Позиция,Имя атрибута 1,Значение(-я) аттрибута(-ов) 1,Видимость атрибута 1,Глобальный атрибут 1
,simple,91372,Hunter Smart адресник-капсула большой,1,0,visible,,"Hunter Smart адресник-капсула большой.  <br><br>
Адресник-капсула – полезная и необходимая каждому владельцу собаки вещь, особенно если питомец неожиданно потерялся…   <br>
В капсулу кладется записка с координатами владельца – адресом, телефоном, электронной почтой. 
Пристегивается к ошейнику.",,,taxable,,1,,0,0,,,,,0,,,296.00,Категория: Адресник,,,http://tin29.ru/wp-content/uploads/2018/hunter/9d222416-3594-11e0-4488-001517e97967.jpg,,,,,,,,,1,Производитель,Hunter,1,1
,simple,91371,Hunter Smart адресник-капсула малый,1,0,visible,,"Hunter Smart адресник-капсула малый. <br><br>
Адресник-капсула – полезная и необходимая каждому владельцу собаки вещь, особенно если питомец неожиданно потерялся…   <br>
В капсулу кладется записка с координатами владельца – адресом, телефоном, электронной почтой. 
Пристегивается к ошейнику.",,,taxable,,1,,0,0,,,,,0,,,244.00,Категория: Адресник,,,http://tin29.ru/wp-content/uploads/2018/hunter/9d2223e5-3594-11e0-4488-001517e97967.jpg,,,,,,,,,1,Производитель,Hunter,1,1
,simple,98619,Hunter Smart игрушка для собак Squeezy Dog 25 см латекс,1,0,visible,,"Игрушка для собак от Hunter Smart (Хантер Смарт) Squeezy Dog – отличная забава для Вашего питомца, особенно если он мелкой или средней породы. Она сделана из прочного и, что особенно важно, безопасного латекса, оснащена пищалкой. ",,,taxable,,1,,0,0,,,,,0,,,672.00,Категория: Игрушка-животное,,,http://tin29.ru/wp-content/uploads/2018/hunter/d1b44aa6-3594-11e0-4488-001517e97967.jpg,,,,,,,,,1,Производитель,Hunter,1,1
,simple,91827,Hunter Smart игрушка для собак «Свинка Руди» 10 см латекс,1,0,visible,,"Ищете для своей собаки привлекательную, яркую игрушку? Тогда игрушка от Hunter Smart (Хантер Смарт) «Свинка Руди» – то, что Вам нужно! Она специально предназначена для собак мелких пород и послужит им отличной забавой на все времена! Оранжевая «Свинка Ру",,,taxable,,1,,0,0,,,,,0,,,332.00,Категория: Игрушка-животное,,,http://tin29.ru/wp-content/uploads/2018/hunter/301e46ae-3cfd-11e0-1287-001517e97967.jpg,,,,,,,,,1,Производитель,Hunter,1,1
,simple,91828,Hunter Smart игрушка для собак «Свинка Сэм» 10 см латекс,1,0,visible,,"Игрушка для собак «Свинка Сэм» от Hunter Smart (Хантер Смарт) – отличный подарок Вашему питомцу, если он одной из мелких пород. Забавная свинка (ее размер – 10 см) сделана из латекса – прочного и безопасного материала, который традиционно используется при",,,taxable,,1,,0,0,,,,,0,,,316.00,Категория: Игрушка-животное,,,http://tin29.ru/wp-content/uploads/2018/hunter/aeceb833-3594-11e0-4488-001517e97967.jpg,,,,,,,,,1,Производитель,Hunter,1,1
,simple,91899,Hunter Smart игрушка для собак «Свинка Тиффи» 10 см латекс,1,0,visible,,"Яркая игрушка от Hunter Smart (Хантер Смарт) «Свинка Тиффи» будет прекрасным подарком Вашей собаке, особенно если она одной из мелких пород. «Свинка Тиффи» (ее размер 10 см) сделана из латекса – прочного и безопасного материала, часто использующегося в из",,,taxable,,1,,0,0,,,,,0,,,316.00,Категория: Игрушка-животное,,,http://tin29.ru/wp-content/uploads/2018/hunter/b1269b2c-3594-11e0-4488-001517e97967.jpg,,,,,,,,,1,Производитель,Hunter,1,1
,simple,92020,Hunter Smart игрушка для собак «Свинка» маленькая 10 см латекс,1,0,visible,,"Отлично подойдет четвероногим мелких пород. Сделана она из латекса – прочного и безопасного материала, из которого традиционно изготавливают аксессуары для собак.",,,taxable,,1,,0,0,,,,,0,,,314.00,Категория: Игрушка-животное,,,http://tin29.ru/wp-content/uploads/2018/hunter/4950f5ea-7173-11e0-d388-001517e97967.jpg,,,,,,,,,1,Производитель,Hunter,1,1
,simple,92445,Hunter Smart когтерез маленький для кошек и собак мелких пород,1,0,visible,,"Когтерез для собак мелких пород и кошек фирмы Hunter Smart существенно облегчит жизнь владельцам, которым не придется специально посещать груминг-салон, чтобы подстричь своим подопечным когти.",,,taxable,,1,,0,0,,,,,0,,,465.00,Категория: Когтерезы,,,http://tin29.ru/wp-content/uploads/2018/hunter/26e3c670-5077-11e4-87a4-001517e97967.jpg,,,,,,,,,1,Производитель,Hunter,1,1
,simple,92462,Hunter Smart когтерез-гильотина желтый/серый,1,0,visible,,"Когтерез для собак средних и крупных пород от фирмы Hunter Smart (Хантер Смарт) существенно облегчит жизнь владельцам, которым не придется специально посещать груминг-салон, чтобы подстричь своим подопечным когти.",,,taxable,,1,,0,0,,,,,0,,,753.00,Категория: Когтерезы,,,http://tin29.ru/wp-content/uploads/2018/hunter/8472b329-507b-11e4-87a4-001517e97967.jpg,,,,,,,,,1,Производитель,Hunter,1,1
,simple,92461,Hunter Smart когтерез-кусачки желтый/серый,1,0,visible,,"Когтерез для собак средних пород от фирмы Hunter Smart (Хантер Смарт) существенно облегчит жизнь владельцам, которым не придется специально посещать груминг-салон, чтобы подстричь своим подопечным когти.",,,taxable,,1,,0,0,,,,,0,,,822.00,Категория: Когтерезы,,,http://tin29.ru/wp-content/uploads/2018/hunter/6c4cdd4c-507b-11e4-87a4-001517e97967.jpg,,,,,,,,,1,Производитель,Hunter,1,1
,simple,91344,"Hunter Smart миска из нержавеющей стали на штативе 2х1,8 л высота штатива 45 см",1,0,visible,,"Hunter миски из нержавеющей стали на штативе 2х1,8 л для собак. Высота штатива 45 см.<br><br> 
Высота миски 7 см, диаметр - 21,5 см.
Миски для собак на штативе – нужная вещь в доме едва ли не каждого владельца собаки крупной породы! Большинство ветеринаров рекомендуют использовать поднятые над полом кормушки. Почему? <br>
- Подставки для еды, поднятые над полом, помогают содержать в чистоте место для кормления.<br>
- Сухой и влажный корм для собак и кошек не разбрасывается по полу.<br>
- Высокая подставка не дает слишком резвым щенкам играть с миской, наполненной водой.<br>
- Для того, чтобы проглотить воду, собаке необходимо поднять голову. При этом вода, не попавшая внутрь, выливается из пасти. От этого пол в области кормления постоянно сырой, что приводит к порче покрытия. Если миска поднята, собакам уже нет необходимости так высоко поднимать голову, и то небольшое количество воды, выливающейся из пасти, попадает уже не на пол, а в миску. <br>
- Остатки пищи и влага, которые собираются под миской, стоящей на полу, - прекрасная питательная среда для грибков и бактерий. <br>
- Кормушки, поднятые над полом, способствуют уменьшению газообразования у собак. Так уж устроен пищеварительный тракт собаки, что вместе с пищей, которую собака ест с миски, расположенной на полу, внутрь попадает много воздуха. Что может привести к повышенному газообразованию, а в некоторых случаях и к острому расширению желудка, что может привести к гибели питомца в течении нескольких часов. Чем выше подставка (конечно, в разумных пределах) , тем меньше воздуха заглатывает собака.<br>
- Некоторые животные после приема пищи срыгивают или у них бывает рвота. Причина - «ленивый» пищевод, который не в состоянии протолкнуть пищу в желудок. В результате, часть еды задерживается в пищеводе, что и приводит к неприятным последствиям. Поднятая над полом кормушка устраняет эту проблему.
- Подставки для еды сильно облегчают жизнь пожилым и больным животным с проблемами суставов и позвоночника. <br>""",,,taxable,,1,,0,0,,,,,0,,,2891.00,Категория: Миска,,,http://tin29.ru/wp-content/uploads/2018/hunter/9a850f7a-3594-11e0-4488-001517e97967.jpg,,,,,,,,,1,Производитель,Hunter,1,1
,simple,91345,"Hunter Smart миска из нержавеющей стали на штативе 2х2,7 л высота штатива 45 см",1,0,visible,,"Hunter миски из нержавеющей стали на штативе 2х2,7 л для собак. Высота штатива 45 см.<br><br> 
Высота миски 8 см, диаметр - 24,5 см.<br>
Миски для собак на штативе – нужная вещь в доме едва ли не каждого владельца собаки крупной породы! Большинство ветеринаров рекомендуют использовать поднятые над полом кормушки. Почему? <br>
- Подставки для еды, поднятые над полом, помогают содержать в чистоте место для кормления.<br>
- Сухой и влажный корм для собак и кошек не разбрасывается по полу.<br>
- Высокая подставка не дает слишком резвым щенкам играть с миской, наполненной водой.<br>
- Для того, чтобы проглотить воду, собаке необходимо поднять голову. При этом вода, не попавшая внутрь, выливается из пасти. От этого пол в области кормления постоянно сырой, что приводит к порче покрытия. Если миска поднята, собакам уже нет необходимости так высоко поднимать голову, и то небольшое количество воды, выливающейся из пасти, попадает уже не на пол, а в миску. <br>
- Остатки пищи и влага, которые собираются под миской, стоящей на полу, - прекрасная питательная среда для грибков и бактерий. <br>
- Кормушки, поднятые над полом, способствуют уменьшению газообразования у собак. Так уж устроен пищеварительный тракт собаки, что вместе с пищей, которую собака ест с миски, расположенной на полу, внутрь попадает много воздуха. Что может привести к повышенному газообразованию, а в некоторых случаях и к острому расширению желудка, что может привести к гибели питомца в течении нескольких часов. Чем выше подставка (конечно, в разумных пределах) , тем меньше воздуха заглатывает собака.<br>
- Некоторые животные после приема пищи срыгивают или у них бывает рвота. Причина - «ленивый» пищевод, который не в состоянии протолкнуть пищу в желудок. В результате, часть еды задерживается в пищеводе, что и приводит к неприятным последствиям. Поднятая над полом кормушка устраняет эту проблему.
- Подставки для еды сильно облегчают жизнь пожилым и больным животным с проблемами суставов и позвоночника. <br>""",,,taxable,,1,,0,0,,,,,0,,,3075.00,Категория: Миска,,,http://tin29.ru/wp-content/uploads/2018/hunter/9a850fa2-3594-11e0-4488-001517e97967.jpg,,,,,,,,,1,Производитель,Hunter,1,1
,simple,92216,Hunter Smart ошейник для кошек Cotton Stripes хлопок голубой,1,0,visible,,"Ошейник для кошек снабжен специальной безопасной застежкой safety click. Ошейник расстегнется при натяжении более 5 кг. Это нужно для того, чтобы Ваш питомец не удушился, если зацепится ошейником на какое-либо препятствие. Ошейник снабжен адресником и колокольчиком.",,,taxable,,1,,0,0,,,,,0,,,361.00,Собаки > Ошейники,,,http://tin29.ru/wp-content/uploads/2018/hunter/a9be362f-944a-11e6-810e-00155d290810.jpg,,,,,,,,,1,Производитель,Hunter,1,1
,simple,92213,Hunter Smart ошейник для кошек Glossy Dots красный в горошек,1,0,visible,,"Hunter Smart ошейник для кошек Glossy Dots красный в горошек.
<br><br>
Ошейник для кошек Glossy Dots   - оснащен маленьким колокольчиком, чтобы вы всегда знали, где находится ваш питомец.  Безопасная застежка (если на прогулке кошка зацепится за что-то, то ошейник расстегнется, что не приведет к удушению животного).  <br>
Хромированная фурнитура является залогом долгого использования ошейника.",,,taxable,,1,,0,0,,,,,0,,,347.00,Собаки > Ошейники,,,http://tin29.ru/wp-content/uploads/2018/hunter/42422073-e60f-11e1-98fe-001517e97967.jpg,,,,,,,,,1,Производитель,Hunter,1,1
,simple,92214,Hunter Smart ошейник для кошек Glossy Dots черный в горошек,1,0,visible,,"Hunter Smart ошейник для кошек Glossy Dots черный  в горошек.
<br><br>
Ошейник для кошек Glossy Dots   - оснащен маленьким колокольчиком, чтобы вы всегда знали, где находится ваш питомец.  Безопасная застежка (если на прогулке кошка зацепится за что-то, то ошейник расстегнется, что не приведет к удушению животного). <br>
Хромированная фурнитура является залогом долгого использования ошейника.",,,taxable,,1,,0,0,,,,,0,,,347.00,Собаки > Ошейники,,,http://tin29.ru/wp-content/uploads/2018/hunter/42422075-e60f-11e1-98fe-001517e97967.jpg,,,,,,,,,1,Производитель,Hunter,1,1
,simple,31033,Hunter Smart ошейник для кошек Neon нейлон зеленый,1,0,visible,,"Hunter Smart ошейник для кошек Neon нейлон зеленый.<br><br>
Ошейник для кошек Neon нейлон  - оснащен маленьким колокольчиком, чтобы вы всегда знали, где находится ваш питомец.  Безопасная застежка (если на прогулке кошка зацепится за что-то, то ошейник расстегнется, что не приведет к удушению животного). <br>
Хромированная фурнитура является залогом долгого использования ошейника.",,,taxable,,1,,0,0,,,,,0,,,388.00,Собаки > Ошейники,,,http://tin29.ru/wp-content/uploads/2018/hunter/3deaeca9-3594-11e0-4488-001517e97967.jpg,,,,,,,,,1,Производитель,Hunter,1,1
,simple,31032,Hunter Smart ошейник для кошек Neon нейлон оранжевый,1,0,visible,,"Hunter Smart ошейник для кошек Neon нейлон оранжевый.<br><br>
Ошейник для кошек Neon нейлон  - оснащен маленьким колокольчиком, чтобы вы всегда знали, где находится ваш питомец.  Безопасная застежка (если на прогулке кошка зацепится за что-то, то ошейник расстегнется, что не приведет к удушению животного). <br>
Хромированная фурнитура является залогом долгого использования ошейника.",,,taxable,,1,,0,0,,,,,0,,,388.00,Собаки > Ошейники,,,http://tin29.ru/wp-content/uploads/2018/hunter/3deaec8b-3594-11e0-4488-001517e97967.jpg,,,,,,,,,1,Производитель,Hunter,1,1
,simple,31031,Hunter Smart ошейник для кошек Neon нейлон розовый,1,0,visible,,"Hunter Smart ошейник для кошек Neon нейлон розовый.<br><br>
Ошейник для кошек Neon нейлон  - оснащен маленьким колокольчиком, чтобы вы всегда знали, где находится ваш питомец.  Безопасная застежка (если на прогулке кошка зацепится за что-то, то ошейник расстегнется, что не приведет к удушению животного).  <br>
Хромированная фурнитура является залогом долгого использования ошейника.",,,taxable,,1,,0,0,,,,,0,,,388.00,Собаки > Ошейники,,,http://tin29.ru/wp-content/uploads/2018/hunter/3deaec6c-3594-11e0-4488-001517e97967.jpg,,,,,,,,,1,Производитель,Hunter,1,1
,simple,70233,Hunter Smart ошейник для кошек со стразами Modern Luxus кожзам бирюзовый,1,0,visible,,"Hunter Smart ошейник для кошек со стразами Modern Luxus кожзам бирюзовый<br><br>
Ошейник из искусственной кожи, украшенный стразами.  <br>
 - Безопасная застежка (если на прогулке кошка зацепится за что-то, то ошейник расстегнется, что не приведет к удушению животного). <br>
 - Хромированная фурнитура является залогом долгого использования ошейника. <br>
 - Пластиковый бегунок поможет отрегулировать и зафиксировать ошейник по размеру. <br>
- Адресная табличка и небольшой колокольчик, позвякивание которого обязательно оповестит владельца о местонахождении питомца.",,,taxable,,1,,0,0,,,,,0,,,727.00,Собаки > Ошейники,,,http://tin29.ru/wp-content/uploads/2018/hunter/92fee0c8-3594-11e0-4488-001517e97967.jpg,,,,,,,,,1,Производитель,Hunter,1,1
